"","id","family_id","name","latitude","longitude"
"3770","cent2091","aust1307","Central Palawano",8.77013,117.838
"3771","cent2092","aust1307","Central Sama",7.004574,118.455978
"3774","cent2098","aust1307","Central Berawan",3.97194,114.565
"3775","cent2100","aust1307","Kadazan Dusun",6.02998,116.681
"3776","cent2101","aust1307","Central Melanau",2.524086,111.346451
"3887","cent2292","aust1307","Central Bontoc",17.08,120.92
"4069","cham1312","aust1307","Chamorro",13.438011,144.74474
"4152","chek1238","aust1307","Cheke Holo",-8.27055,159.625
"4367","chru1239","aust1307","Chru",11.6625,108.529
"4410","chuu1238","aust1307","Chuukese",7.346993,151.598607
"4420","ciac1237","aust1307","Cia-Cia",-5.68289,122.791
"4435","cina1236","aust1307","Cinamiguin Manobo",9.1793,124.721
"4445","cire1240","aust1307","Cirebon Javanese",-6.74533,108.538
"4459","cjin1234","aust1307","Basilectal Colloquial Jakarta Indonesian",-6.277146,106.848088
"4481","coas1294","aust1307","Coastal Kadazan",5.77065,116.063
"4482","coas1295","aust1307","Coastal Konjo",-5.41532,120.304
"4532","coco1260","aust1307","Cocos Islands Malay",-12.193342,96.833679
"4546","coll1240","aust1307","Col",-3.52245,103.451
"4631","cota1241","aust1307","Cotabato Manobo",6.39417,124.234
"4719","cuyo1237","aust1307","Cuyonon",10.3201,119.3
"4733","daak1235","aust1307","Da'a Kaili",-1.21051,119.527
"4757","dadu1237","aust1307","Dadu'a",-8.486,125.8637
"4787","daii1240","aust1307","Dai",-7.55894,129.687
"4794","daka1243","aust1307","Dakaka",-16.2696,168.013
"4797","dakk1238","aust1307","Dakka",-3.33671,119.235
"4815","dalk1234","aust1307","Dalkalaen",-16.26246,167.93334
"4836","damb1246","aust1307","Dambi",-7.00587,146.474
"4845","damp1237","aust1307","Dampelas",0.70234,120.219
"4899","dara1251","aust1307","Daraga",13.17,123.5
"4922","daro1239","aust1307","Daro-Matu Melanau",2.54435,111.536
"4952","dava1245","aust1307","Davawenyo",7.22613,126.458
"4956","dawa1242","aust1307","Dawawa",-10.1692,149.999
"4958","dawe1237","aust1307","Dawera-Daweloor",-7.76324,130.06
"5015","dehu1237","aust1307","Dehu",-20.8892,167.229
"5025","dela1251","aust1307","Dela-Oenale",-10.8469,122.852
"5053","deng1252","aust1307","Dengalu",-7.0572,146.3598
"5054","deng1253","aust1307","Dengka",-10.7866,122.946
"5109","dhao1237","aust1307","Dhao",-10.8098,122.658
"5143","diba1242","aust1307","Dibabawon Manobo",7.85664,126.018
"5151","dica1235","aust1307","Dicamay Agta",17.8846,121.606
"5212","diod1237","aust1307","Diodio",-9.38654,150.168
"5240","dixo1238","aust1307","Dixon Reef",-16.3267,167.516
"5287","dobe1238","aust1307","Dobel",-6.32531,134.638
"5295","dobu1241","aust1307","Dobu",-9.63239,150.825
"5304","doga1238","aust1307","Doga",-9.63698,149.841
"5360","dond1249","aust1307","Dondo",0.80348,120.707
"5390","dori1246","aust1307","Dori'o",-9.11536,160.897
"5446","duan1242","aust1307","Duano",0.72162,103.46759
"5447","duau1237","aust1307","Duau",-10.187,151.218
"5469","duke1237","aust1307","Duke",-7.97768,157.064
"5486","dumb1241","aust1307","Dumbea",-22.0947,166.531
"5493","dump1242","aust1307","Dumpas",5.93483,117.419
"5509","dupa1235","aust1307","Dupaninan Agta",17.3748,122.188
"5513","duri1242","aust1307","Duri",-3.37081,119.871
"5519","dusn1237","aust1307","Dusner",-2.73859,134.391
"5520","dusu1267","aust1307","Dusun Witu",-1.57408,114.979
"5522","dusu1269","aust1307","Dusun Malang",-0.85277,115.392
"5524","dusu1271","aust1307","Dusun Deyah",-1.95514,115.578
"5549","duwe1237","aust1307","Duwet",-6.45752,146.841
"5742","east2440","aust1307","East Makian",0.07337,127.423
"5744","east2443","aust1307","East Ambae",-15.3523,167.89
"5747","east2447","aust1307","East Futuna",-14.278717,-178.137222
"5759","east2462","aust1307","East Masela",-8.13455,129.873
"5761","east2464","aust1307","Eastern Ngad'a",-8.82745,121.121
"5762","east2465","aust1307","East Tarangan",-6.76213,134.288
"5766","east2472","aust1307","East Damar",-7.16991,128.636
"5774","east2482","aust1307","Eastern Tawbuid",12.8968,121.177
"5775","east2485","aust1307","Eastern Penan",4.5915,114.584
"5776","east2486","aust1307","East Berawan",3.96098,114.606
"5842","east2563","aust1307","Eastern Cham",11.2853,108.49
"5868","east2694","aust1307","Eastern Subanen",8.2475,123.5234
"6038","east2881","aust1307","Eastern Bontok",17.08,121.17
"6212","eluu1241","aust1307","Elu",-1.99841,147.101
"6215","emae1237","aust1307","Emae",-17.052,168.399
"6221","emba1238","aust1307","Embaloh",1.3156,112.63
"6239","empl1237","aust1307","Emplawas",-8.03209,129.721
"6252","ende1246","aust1307","Ende",-8.70998,121.555
"6268","engg1245","aust1307","Enggano",-5.38846,102.245
"6285","enre1239","aust1307","Enrekang",-3.53848,119.66
"6314","eree1241","aust1307","Ere",-2.15569,147.083
"6328","erok1237","aust1307","Erokwanas",-2.83746,132.705
"6391","eton1255","aust1307","Eton (Vanuatu)",-17.74,168.549
"6444","faga1239","aust1307","Fagani",-10.4479,161.662
"6449","fair1238","aust1307","Faire Atta",17.9808,121.436
"6508","fata1245","aust1307","Fataleka",-8.59041,160.861
"6546","fiji1243","aust1307","Fijian",-18,178.33
"6555","fili1244","aust1307","Filipino",12.265,123.464
"6560","fina1242","aust1307","Eastern-Southern Bontok",17.0319,121.11
